order_id,order_date,amount,city
1,2024-01-15,4463,kanpur
2,2024-01-31,2423,kanpur
3,2024-01-15,9521,delhi
4,2024-01-16,5038,mumbai
5,2024-01-04,1336,mumbai
6,2024-01-01,2583,kanpur
7,2024-01-15,5578,mumbai
8,2024-01-02,1827,kanpur
9,2024-01-11,4014,chennai
10,2024-01-05,8238,mumbai
11,2024-01-07,865,delhi
12,2024-01-23,7751,delhi
13,2024-01-08,2526,mumbai
14,2024-01-05,259,chennai
15,2024-01-21,4566,chennai
16,2024-01-08,3275,chennai
17,2024-01-10,1772,mumbai
18,2024-01-07,4353,mumbai
19,2024-01-21,4323,mumbai
20,2024-01-07,4209,delhi
21,2024-01-21,4296,delhi
22,2024-01-24,8368,kanpur
23,2024-01-22,9313,chennai
24,2024-01-19,5622,delhi
25,2024-01-13,122,chennai
26,2024-01-28,9337,mumbai
27,2024-01-20,899,chennai
28,2024-01-26,3500,chennai
29,2024-01-22,8341,delhi
30,2024-01-23,4061,kanpur
31,2024-01-11,1498,mumbai
32,2024-01-20,4079,delhi
33,2024-01-06,4057,kanpur
34,2024-01-25,8609,mumbai
35,2024-01-24,1248,chennai
36,2024-01-10,6867,kanpur
37,2024-01-07,4206,delhi
38,2024-01-03,8551,mumbai
39,2024-01-19,1116,kanpur
40,2024-01-25,1095,mumbai
41,2024-01-28,2116,kanpur
42,2024-01-21,3480,mumbai
43,2024-01-15,5817,delhi
44,2024-01-13,5620,mumbai
45,2024-01-20,3568,chennai
46,2024-01-06,7719,kanpur
47,2024-01-12,3229,kanpur
48,2024-01-24,1927,kanpur
49,2024-01-28,1632,mumbai
50,2024-01-04,9438,mumbai
51,2024-01-04,8641,chennai
52,2024-01-06,3926,delhi
53,2024-01-29,712,kanpur
54,2024-01-31,5733,kanpur
55,2024-01-10,6522,mumbai
56,2024-01-21,7689,kanpur
57,2024-01-29,7333,mumbai
58,2024-01-24,3585,mumbai
59,2024-01-28,9463,delhi
60,2024-01-23,5853,chennai
61,2024-01-31,1521,delhi
62,2024-01-09,7798,chennai
63,2024-01-23,8706,mumbai
64,2024-01-01,8029,kanpur
65,2024-01-12,480,delhi
66,2024-01-07,2442,kanpur
67,2024-01-07,1148,kanpur
68,2024-01-17,1812,kanpur
69,2024-01-09,6840,delhi
70,2024-01-15,9614,mumbai
71,2024-01-26,191,delhi
72,2024-01-23,8609,chennai
73,2024-01-08,5955,delhi
74,2024-01-01,7390,kanpur
75,2024-01-13,7810,mumbai
76,2024-01-22,8161,mumbai
77,2024-01-23,2795,mumbai
78,2024-01-03,5705,chennai
79,2024-01-05,8129,chennai
80,2024-01-09,1927,delhi
81,2024-01-09,2829,mumbai
82,2024-01-02,9578,kanpur
83,2024-01-01,3319,mumbai
84,2024-01-18,3459,mumbai
85,2024-01-05,7129,chennai
86,2024-01-09,4902,chennai
87,2024-01-17,8864,kanpur
88,2024-01-05,1747,chennai
89,2024-01-22,6098,mumbai
90,2024-01-03,4727,mumbai
91,2024-01-26,4734,chennai
92,2024-01-05,2780,kanpur
93,2024-01-27,6399,delhi
94,2024-01-14,7473,kanpur
95,2024-01-07,7145,mumbai
96,2024-01-07,9838,kanpur
97,2024-01-19,2236,kanpur
98,2024-01-06,804,mumbai
99,2024-01-02,3484,mumbai
100,2024-01-03,7452,mumbai
101,2024-01-21,2996,kanpur
102,2024-01-07,7226,delhi
103,2024-01-30,4712,kanpur
104,2024-01-22,3555,mumbai
105,2024-01-14,127,chennai
106,2024-01-27,7252,mumbai
107,2024-01-31,890,chennai
108,2024-01-01,8839,chennai
109,2024-01-29,9315,chennai
110,2024-01-18,3662,mumbai
111,2024-01-31,1902,delhi
112,2024-01-31,1876,chennai
113,2024-01-29,8410,delhi
114,2024-01-11,2000,chennai
115,2024-01-07,4382,delhi
116,2024-01-16,6944,mumbai
117,2024-01-13,6904,delhi
118,2024-01-20,708,chennai
119,2024-01-28,337,mumbai
120,2024-01-27,9328,kanpur
121,2024-01-14,7881,mumbai
122,2024-01-25,6917,delhi
123,2024-01-02,8180,delhi
124,2024-01-26,8003,kanpur
125,2024-01-31,2725,chennai
126,2024-01-07,1497,delhi
127,2024-01-12,2154,kanpur
128,2024-01-14,966,delhi
129,2024-01-20,9754,delhi
130,2024-01-11,1877,chennai
131,2024-01-30,1295,kanpur
132,2024-01-04,4782,kanpur
133,2024-01-09,814,delhi
134,2024-01-09,783,delhi
135,2024-01-24,7486,mumbai
136,2024-01-17,562,kanpur
137,2024-01-13,4456,mumbai
138,2024-01-22,6215,kanpur
139,2024-01-27,5467,kanpur
140,2024-01-04,4410,mumbai
141,2024-01-24,5259,chennai
142,2024-01-02,3207,kanpur
143,2024-01-11,4915,mumbai
144,2024-01-10,3380,chennai
145,2024-01-26,4303,chennai
146,2024-01-30,9016,chennai
147,2024-01-25,272,mumbai
148,2024-01-22,1233,delhi
149,2024-01-16,6782,kanpur
150,2024-01-22,7823,chennai
151,2024-01-23,1370,kanpur
152,2024-01-04,646,delhi
153,2024-01-18,7293,mumbai
154,2024-01-16,651,mumbai
155,2024-01-13,2760,kanpur
156,2024-01-30,2926,mumbai
157,2024-01-09,5297,delhi
158,2024-01-10,5262,kanpur
159,2024-01-09,7825,chennai
160,2024-01-14,4197,kanpur
161,2024-01-05,4318,mumbai
162,2024-01-16,5356,kanpur
163,2024-01-11,4529,chennai
164,2024-01-27,2093,mumbai
165,2024-01-06,976,kanpur
166,2024-01-24,6130,chennai
167,2024-01-10,6927,delhi
168,2024-01-09,8183,kanpur
169,2024-01-18,1827,mumbai
170,2024-01-27,1564,delhi
171,2024-01-20,3317,delhi
172,2024-01-14,2960,chennai
173,2024-01-07,6122,mumbai
174,2024-01-10,2848,mumbai
175,2024-01-23,400,mumbai
176,2024-01-20,932,chennai
177,2024-01-17,1239,delhi
178,2024-01-25,2216,delhi
179,2024-01-20,4738,delhi
180,2024-01-10,4806,chennai
181,2024-01-17,816,chennai
182,2024-01-01,8176,chennai
183,2024-01-30,4838,mumbai
184,2024-01-22,9166,mumbai
185,2024-01-10,8072,kanpur
186,2024-01-04,2332,mumbai
187,2024-01-04,7888,delhi
188,2024-01-05,3181,chennai
189,2024-01-17,2505,mumbai
190,2024-01-26,8445,kanpur
191,2024-01-14,5593,chennai
192,2024-01-01,7512,delhi
193,2024-01-11,8811,chennai
194,2024-01-05,9825,delhi
195,2024-01-22,8933,mumbai
196,2024-01-07,4159,chennai
197,2024-01-14,2492,mumbai
198,2024-01-31,9117,kanpur
199,2024-01-11,5191,kanpur
200,2024-01-13,7174,kanpur
201,2024-01-14,715,delhi
202,2024-01-27,6622,chennai
203,2024-01-20,5922,delhi
204,2024-01-26,3094,mumbai
205,2024-01-12,7131,chennai
206,2024-01-19,1803,chennai
207,2024-01-15,3620,mumbai
208,2024-01-13,2073,delhi
209,2024-01-05,2986,kanpur
210,2024-01-14,2967,delhi
211,2024-01-23,8692,chennai
212,2024-01-24,8183,chennai
213,2024-01-27,3781,delhi
214,2024-01-10,5998,mumbai
215,2024-01-29,4357,delhi
216,2024-01-07,1440,chennai
217,2024-01-24,3652,chennai
218,2024-01-11,6948,delhi
219,2024-01-07,665,kanpur
220,2024-01-13,9468,mumbai
221,2024-01-01,6529,kanpur
222,2024-01-28,160,chennai
